method,x0_x,x0_y,x_final_x,x_final_y,f_final,nit,grad_norm,success,u,A,g_prime
BFGS,-70,20,1.5129512853882528e-06,-56097.8240831503,-3.141557001898547,39,3.02653815896401e-06,True,-56096.82408163735,2.2657413558339574e-14,6.355214631625321e-10
BFGS,-70,30,4.185814643530942e-06,-24122.37982340609,-3.1415097447313056,38,8.375066930249232e-06,True,-24121.379819220274,2.849525451561674e-13,3.4369379665305226e-09
BFGS,-70,40,-7.840435738073613e-06,-489.4652956732111,-3.1375106992480584,17,1.1109754564246389e-05,True,-488.4653035136468,3.400829149160841e-08,8.331241887214813e-06
BFGS,-70,50,-1.633637782948937e-06,-2981.901151726708,-3.140922052843588,29,3.0507204852467406e-06,True,-2980.9011533603457,1.5078647094190466e-10,2.2485272706789961e-07
BFGS,-70,60,9.282199327119995e-07,-831.8154469811896,-3.139189711840106,22,5.553025964495001e-06,True,-830.8154460529696,6.937505458718045e-09,2.8870725118712396e-06
BFGS,-70,70,2.843874789845979e-06,-3878.55180622661,-3.1410770635983463,31,5.822183507332331e-06,True,-3877.551803382735,6.85304501873875e-11,1.3291653240097928e-07
BFGS,-70,80,3.171005015087196e-06,-1463.4318849882784,-3.1402264685724095,20,7.334852522916307e-06,True,-1462.4318818172733,1.274969262204999e-09,9.332315717530054e-07
BFGS,-70,90,-1.912234580168107e-06,-76003.18820552241,-3.1415663390736723,39,3.824122949226249e-06,True,-76002.18820743465,9.110789008822373e-15,3.4622678323049425e-10
BFGS,-70,100,-8.87749288378861e-07,-6234.581962601124,-3.141271887942248,34,1.7248206606116867e-06,True,-6233.581963488874,1.650188739023692e-11,5.144530260616726e-08
BFGS,-60,-100,6.52016860238264e-07,-61043475.95526156,-3.1415926208258345,65,1.3040337210132526e-06,True,-61043474.9552609,1.7584993597752506e-23,5.367245713251587e-16
BFGS,-60,-90,-3.7547264878080134e-06,-16204778.538261084,-3.1415925301553145,60,7.509452967999732e-06,True,-16204777.538264839,9.400060541205024e-22,7.616295200826813e-15
BFGS,-60,-80,5.970321692284859e-07,-51188372.62429938,-3.1415926145180637,64,1.194064339220258e-06,True,-51188371.62429878,2.982263480953681e-23,7.632860790901339e-16
BFGS,-60,-70,-4.0659244462946974e-07,-13375185.463598317,-3.1415925040589965,59,8.131848780792346e-07,True,-13375184.463598723,1.6717083215059453e-21,1.1179704838518392e-14
BFGS,-60,-60,-3.883232089359446e-06,-3431939.3675486664,-3.1415920708139202,54,7.766464008913823e-06,True,-3431938.3675525496,9.895573797664425e-20,1.6980507114248173e-13
BFGS,-60,-50,2.1886655209509166e-07,-30691276.350276947,-3.1415925884246496,64,4.377331063134282e-07,True,-30691275.350276727,1.3836145519758437e-22,2.123244863438098e-15
BFGS,-60,-40,7.163756739755141e-08,-2143559.8636421063,-3.141591720562646,54,1.4327557006558793e-07,True,-2143558.8636420346,4.0611855987652956e-19,4.352698239448119e-13
BFGS,-60,-30,-3.952677016320635e-07,-68050540.79245616,-3.141592624199716,66,7.905354028322433e-07,True,-68050539.79245657,1.2693028032234336e-23,4.3188371411693525e-16
BFGS,-60,-20,3.4014512511482814e-06,-292278.75575657806,-3.141585810807275,48,6.8029259140939735e-06,True,-292277.75575317664,1.6020129151416796e-16,2.3411757125653533e-11
BFGS,-60,-10,3.4882417877336923e-07,-24451568.10835956,-3.141592571795328,63,6.976483608918958e-07,True,-24451567.10835921,2.736149456614052e-22,3.3451573080561314e-15
BFGS,-60,0,1.8844778846118307e-14,-554.7634612571114,-3.1379907374317257,23,9.173919020094319e-06,True,-553.7634612571114,2.336570568780669e-08,6.486940330320161e-06
BFGS,-60,10,-8.176548724930603e-06,-494.16977741431697,-3.137549520661704,26,1.1563386890520058e-05,True,-493.1697855908657,3.304716797090461e-08,8.173525686510736e-06
